failure,steps,wall_dt
1,1,0.4221761226654053
1,1,0.5236258506774902
1,1,0.5234472751617432
0,1,0.680858850479126
0,1,0.6400699615478516
0,1,0.7867770195007324
1,1,0.5397610664367676
1,1,0.2357771396636963
0,1,0.5612385272979736
1,1,0.5394182205200195
0,1,0.658158540725708
1,1,0.27505922317504883
0,1,0.7922403812408447
1,1,0.4650075435638428
0,1,0.6190733909606934
1,1,0.4788846969604492
1,1,0.45166563987731934
0,1,0.5526068210601807
1,1,0.5182647705078125
1,1,0.02278423309326172
1,1,0.5231618881225586
1,1,0.5423898696899414
0,1,0.6687397956848145
1,1,0.2719137668609619
1,1,0.45665407180786133
1,1,0.2361161708831787
1,1,0.5215590000152588
1,1,0.5099823474884033
1,1,0.3858675956726074
1,1,0.5407218933105469
1,1,0.5343399047851562
0,1,0.6345243453979492
1,1,0.23311066627502441
0,1,0.7827243804931641
0,1,0.7226812839508057
1,1,0.3885362148284912
1,1,0.24920296669006348
0,1,0.6560897827148438
1,1,0.48943161964416504
1,1,0.5327796936035156
0,1,0.6902015209197998
0,1,0.7856864929199219
0,1,0.7005271911621094
1,1,0.45914506912231445
0,1,0.6247692108154297
1,1,0.4453134536743164
1,1,0.47697973251342773
1,1,0.4044170379638672
1,1,0.23296809196472168
1,1,0.4608800411224365
1,1,0.2413008213043213
1,1,0.3838188648223877
0,1,0.6829161643981934
1,1,0.26100730895996094
0,1,0.6755702495574951
0,1,0.7824723720550537
1,1,0.42147326469421387
0,1,0.6480472087860107
1,1,0.41889333724975586
1,1,0.35344386100769043
1,1,0.5304639339447021
0,1,0.67710280418396
1,1,0.529278039932251
1,1,0.23055362701416016
1,1,0.5034635066986084
1,1,0.5249757766723633
1,1,0.343111515045166
1,1,0.45408058166503906
1,1,0.524970293045044
1,1,0.20532798767089844
1,1,0.38154029846191406
0,1,0.7748754024505615
0,1,0.6915848255157471
1,1,0.32161855697631836
1,1,0.5488417148590088
0,1,0.6478855609893799
1,1,0.41207337379455566
0,1,0.6340930461883545
1,1,0.44933319091796875
1,1,0.41951942443847656
1,1,0.24088692665100098
1,1,0.5128352642059326
1,1,0.5218198299407959
1,1,0.3048851490020752
0,1,0.6591696739196777
1,1,0.4234914779663086
0,1,0.6598653793334961
1,1,0.5281710624694824
0,1,0.5492568016052246
1,1,0.40735864639282227
0,1,0.7082815170288086
1,1,0.25911998748779297
0,1,0.6451668739318848
0,1,0.6756734848022461
0,1,0.6960403919219971
1,1,0.39476728439331055
0,1,0.6655428409576416
1,1,0.5230462551116943
0,1,0.5634586811065674
1,1,0.4727199077606201
1,1,0.21446561813354492
1,1,0.40668559074401855
1,1,0.3886840343475342
1,1,0.5302450656890869
1,1,0.4169473648071289
1,1,0.42170166969299316
1,1,0.25126028060913086
0,1,0.6382923126220703
1,1,0.5468001365661621
0,1,0.6730852127075195
1,1,0.5381128787994385
1,1,0.5341372489929199
1,1,0.549910306930542
0,1,0.6828839778900146
0,1,0.5654284954071045
1,1,0.2454369068145752
0,1,0.5581011772155762
0,1,0.7838971614837646
0,1,0.7312099933624268
1,1,0.46709322929382324
0,1,0.6303765773773193
1,1,0.5417838096618652
1,1,0.4035346508026123
1,1,0.5255093574523926
1,1,0.5410099029541016
1,1,0.43214893341064453
1,1,0.45513081550598145
1,1,0.5482802391052246
0,1,0.6305239200592041
1,1,0.3941924571990967
0,1,0.646019458770752
1,1,0.26482176780700684
1,1,0.52630615234375
0,1,0.6385595798492432
0,1,0.5576941967010498
1,1,0.41353845596313477
1,1,0.2981278896331787
0,1,0.6860136985778809
0,1,0.7829442024230957
1,1,0.34387779235839844
0,1,0.6677792072296143
1,1,0.5269041061401367
1,1,0.02261948585510254
1,1,0.4564235210418701
0,1,0.6480400562286377
0,1,0.6264395713806152
1,1,0.511406421661377
1,1,0.27448248863220215
1,1,0.5232663154602051
0,1,0.7118957042694092
0,1,0.6495976448059082
1,1,0.5204999446868896
1,1,0.2215745449066162
1,1,0.2588326930999756
0,1,0.6666853427886963
1,1,0.4590907096862793
0,1,0.7861855030059814
1,1,0.3094213008880615
0,1,0.6533281803131104
1,1,0.2890961170196533
1,1,0.28243064880371094
1,1,0.24213051795959473
1,1,0.4667389392852783
1,1,0.5454845428466797
0,1,0.6568057537078857
1,1,0.22081470489501953
1,1,0.4765174388885498
1,1,0.42531847953796387
1,1,0.424515962600708
0,1,0.6901803016662598
1,1,0.5320069789886475
1,1,0.3160252571105957
1,1,0.4483788013458252
0,1,0.6546242237091064
0,1,0.6522464752197266
1,1,0.5374598503112793
1,1,0.26305294036865234
1,1,0.19454121589660645
1,1,0.2649519443511963
1,1,0.23737716674804688
1,1,0.21629667282104492
1,1,0.2543630599975586
1,1,0.2451021671295166
1,1,0.4994773864746094
