idx,return,steps,failure
301,-26.0,20,True
302,7.0,14,False
303,12.0,9,False
304,-45.0,21,True
305,-46.0,22,True
306,-14.0,17,True
307,-15.0,18,True
308,-12.0,15,True
309,10.0,11,False
310,-12.0,15,True
311,-1.0,13,True
312,14.0,7,False
313,-11.0,14,True
314,8.0,13,False
315,12.0,9,False
316,-5.0,17,True
317,-12.0,15,True
318,-1.0,13,True
319,8.0,13,False
320,4.0,17,False
321,-6.0,18,True
322,-11.0,14,True
323,-50.0,17,True
324,11.0,10,False
325,-14.0,17,True
326,-28.0,13,True
327,-23.0,17,True
328,-20.0,14,True
329,-14.0,17,True
330,13.0,8,False
331,-34.0,19,True
332,-3.0,15,True
333,7.0,14,False
334,-21.0,15,True
335,-6.0,18,True
336,8.0,13,False
337,-25.0,19,True
338,6.0,15,False
339,0.0,12,True
340,13.0,8,False
341,9.0,12,False
342,8.0,13,False
343,6.0,15,False
344,8.0,13,False
345,-21.0,15,True
346,0.0,12,True
347,10.0,11,False
348,-10.0,13,True
349,14.0,7,False
350,-21.0,15,True
351,-31.0,16,True
352,-65.0,23,True
353,-4.0,16,True
354,-21.0,15,True
355,15.0,6,False
356,9.0,12,False
357,1.0,11,True
358,-19.0,13,True
359,-26.0,20,True
360,-15.0,18,True
361,0.0,12,True
362,-16.0,19,True
363,7.0,14,False
364,-13.0,16,True
365,8.0,13,False
366,8.0,13,False
367,-2.0,14,True
368,-6.0,18,True
369,-4.0,16,True
370,-3.0,15,True
371,1.0,11,True
372,-56.0,23,True
373,-54.0,21,True
374,-14.0,17,True
375,9.0,12,False
376,-1.0,13,True
377,13.0,8,False
378,13.0,8,False
379,5.0,16,False
380,10.0,11,False
381,8.0,13,False
382,-32.0,17,True
383,-13.0,16,True
384,9.0,12,False
385,8.0,13,False
386,-16.0,19,True
387,-31.0,16,True
388,-2.0,14,True
389,9.0,12,False
390,8.0,13,False
391,8.0,13,False
392,-21.0,15,True
393,-89.0,20,True
394,9.0,12,False
395,9.0,12,False
396,-6.0,18,True
397,7.0,14,False
398,-20.0,14,True
399,-24.0,18,True
400,-33.0,18,True
401,-35.0,20,True
402,-2.0,14,True
403,0.0,12,True
404,-9.0,12,True
405,-12.0,15,True
406,-36.0,21,True
407,5.0,16,False
408,-18.0,12,True
409,12.0,9,False
410,11.0,10,False
411,-23.0,17,True
412,-4.0,16,True
413,-4.0,16,True
414,-28.0,13,True
415,-50.0,17,True
416,-26.0,20,True
417,-11.0,14,True
418,-2.0,14,True
419,10.0,11,False
420,-12.0,15,True
421,9.0,12,False
422,-17.0,20,True
423,-37.0,22,True
424,11.0,10,False
425,-20.0,14,True
426,-34.0,19,True
427,9.0,12,False
428,9.0,12,False
429,-64.0,22,True
430,5.0,16,False
431,-36.0,21,True
432,-1.0,13,True
433,-12.0,15,True
434,9.0,12,False
435,10.0,11,False
436,-12.0,15,True
437,-14.0,17,True
438,-12.0,15,True
439,10.0,11,False
440,11.0,10,False
441,1.0,11,True
442,10.0,11,False
443,10.0,11,False
444,-2.0,14,True
445,-3.0,15,True
446,8.0,13,False
447,0.0,12,True
448,8.0,13,False
449,-20.0,14,True
450,-26.0,20,True
451,-25.0,19,True
452,-21.0,15,True
453,4.0,17,False
454,0.0,12,True
455,-24.0,18,True
456,-11.0,14,True
457,8.0,13,False
458,8.0,13,False
459,-1.0,13,True
460,8.0,13,False
461,6.0,15,False
462,-9.0,12,True
463,-23.0,17,True
464,-24.0,18,True
465,-11.0,14,True
466,-2.0,14,True
