idx,return,steps,failure
318,8.0,13,False
319,11.0,10,False
320,12.0,9,False
321,6.0,15,False
322,8.0,13,False
323,6.0,15,False
324,5.0,16,False
325,14.0,7,False
326,11.0,10,False
327,11.0,10,False
328,8.0,13,False
329,9.0,12,False
330,6.0,15,False
331,3.0,18,False
332,8.0,13,False
333,5.0,16,False
334,8.0,13,False
335,11.0,10,False
336,5.0,16,False
337,6.0,15,False
338,5.0,16,False
339,10.0,11,False
340,13.0,8,False
341,6.0,15,False
342,10.0,11,False
343,13.0,8,False
344,6.0,15,False
345,14.0,7,False
346,3.0,18,False
347,11.0,10,False
348,8.0,13,False
349,5.0,16,False
350,6.0,15,False
351,8.0,13,False
352,3.0,18,False
353,7.0,14,False
354,7.0,14,False
355,7.0,14,False
356,9.0,12,False
357,10.0,11,False
358,4.0,17,False
359,7.0,14,False
360,4.0,17,False
361,9.0,12,False
362,6.0,15,False
363,9.0,12,False
364,13.0,8,False
365,4.0,17,False
366,4.0,17,False
367,8.0,13,False
368,10.0,11,False
369,9.0,12,False
370,11.0,10,False
371,6.0,15,False
372,8.0,13,False
373,9.0,12,False
374,6.0,15,False
375,10.0,11,False
376,13.0,8,False
377,7.0,14,False
378,11.0,10,False
379,13.0,8,False
380,6.0,15,False
381,9.0,12,False
382,7.0,14,False
383,4.0,17,False
384,4.0,17,False
385,7.0,14,False
386,11.0,10,False
387,8.0,13,False
388,3.0,18,False
389,10.0,11,False
390,9.0,12,False
391,8.0,13,False
392,9.0,12,False
393,6.0,15,False
394,5.0,16,False
395,7.0,14,False
396,7.0,14,False
397,8.0,13,False
398,4.0,17,False
399,9.0,12,False
400,9.0,12,False
401,4.0,17,False
402,6.0,15,False
403,8.0,13,False
404,6.0,15,False
405,9.0,12,False
406,7.0,14,False
407,6.0,15,False
408,11.0,10,False
409,4.0,17,False
410,7.0,14,False
411,9.0,12,False
412,8.0,13,False
413,10.0,11,False
414,9.0,12,False
415,10.0,11,False
416,11.0,10,False
417,9.0,12,False
418,11.0,10,False
419,8.0,13,False
420,8.0,13,False
421,9.0,12,False
422,5.0,16,False
423,12.0,9,False
424,6.0,15,False
425,10.0,11,False
426,9.0,12,False
427,5.0,16,False
428,7.0,14,False
429,10.0,11,False
430,8.0,13,False
431,7.0,14,False
432,7.0,14,False
433,8.0,13,False
434,8.0,13,False
435,4.0,17,False
436,7.0,14,False
437,7.0,14,False
438,9.0,12,False
439,9.0,12,False
440,8.0,13,False
441,10.0,11,False
442,12.0,9,False
443,11.0,10,False
444,5.0,16,False
445,5.0,16,False
446,5.0,16,False
447,6.0,15,False
448,7.0,14,False
449,7.0,14,False
450,12.0,9,False
451,10.0,11,False
452,10.0,11,False
453,4.0,17,False
454,12.0,9,False
455,6.0,15,False
456,9.0,12,False
457,9.0,12,False
458,11.0,10,False
459,9.0,12,False
460,7.0,14,False
461,9.0,12,False
462,5.0,16,False
463,9.0,12,False
464,6.0,15,False
465,8.0,13,False
466,10.0,11,False
467,7.0,14,False
468,12.0,9,False
469,6.0,15,False
470,6.0,15,False
471,10.0,11,False
472,6.0,15,False
473,7.0,14,False
474,10.0,11,False
475,8.0,13,False
476,5.0,16,False
477,14.0,7,False
478,11.0,10,False
479,5.0,16,False
480,9.0,12,False
481,5.0,16,False
482,8.0,13,False
483,11.0,10,False
484,13.0,8,False
485,4.0,17,False
486,9.0,12,False
487,9.0,12,False
488,12.0,9,False
489,7.0,14,False
490,10.0,11,False
491,11.0,10,False
492,5.0,16,False
493,7.0,14,False
494,11.0,10,False
