idx,steps,failure
531,11,False
532,10,False
533,46,True
534,10,False
535,16,False
536,17,False
537,13,False
538,52,True
539,15,False
540,13,False
541,17,False
542,17,False
543,14,False
544,11,False
545,15,True
546,17,False
547,200,True
548,200,True
549,19,False
550,16,False
551,18,False
552,22,True
553,19,False
554,24,True
555,18,False
556,10,False
557,161,True
558,44,True
559,9,False
560,15,False
561,35,True
562,21,True
563,200,True
564,18,False
565,12,False
566,14,False
567,16,False
568,12,False
569,17,True
570,17,False
571,200,True
572,21,True
573,18,False
574,19,False
575,23,True
576,14,True
577,16,False
578,12,True
579,8,False
580,200,True
581,200,True
582,16,False
583,10,False
584,17,True
585,131,True
586,16,False
587,13,False
588,18,False
589,12,False
590,16,True
591,200,True
592,88,True
593,17,False
594,19,True
595,10,False
596,200,True
597,13,False
598,198,True
599,200,True
600,13,False
601,12,False
602,15,False
603,14,False
604,19,True
605,21,True
606,17,True
607,15,False
608,9,False
609,14,False
610,15,False
611,12,False
612,13,False
613,14,False
614,20,False
615,12,True
616,12,False
617,13,True
618,20,False
619,7,False
620,18,False
621,16,False
622,200,True
623,13,False
624,22,True
625,16,False
626,200,True
627,200,True
628,17,False
629,11,False
630,16,False
631,15,False
632,80,True
633,17,False
634,16,False
635,22,True
636,16,True
637,16,True
638,19,False
639,200,True
640,200,True
641,11,True
642,102,True
643,18,True
644,14,False
645,15,False
646,18,False
647,12,False
648,18,True
649,19,True
650,14,False
651,109,True
652,17,False
653,17,False
654,13,True
655,20,False
656,16,False
657,16,False
658,14,False
659,15,False
660,141,True
661,37,True
662,15,False
663,200,True
664,200,True
665,10,False
666,11,False
667,13,False
668,9,True
669,47,True
670,16,False
671,18,True
672,96,True
673,19,False
674,33,True
675,13,False
676,22,True
677,12,False
678,25,True
679,13,False
680,33,True
681,200,True
682,11,False
683,21,True
684,64,True
685,14,True
686,12,False
687,10,False
688,13,False
689,16,False
690,15,False
691,16,False
692,17,True
693,15,True
694,11,True
695,8,False
696,16,True
697,10,False
698,15,True
699,94,True
700,17,False
701,14,True
702,15,False
703,21,True
704,20,False
705,200,True
706,18,False
707,17,False
708,200,True
709,9,False
710,10,True
711,11,False
712,12,False
713,11,False
714,24,True
715,22,True
716,18,False
717,14,False
718,15,False
719,16,False
720,200,True
721,114,True
722,13,False
723,14,False
724,16,False
725,21,True
726,15,False
727,13,False
728,20,False
729,14,True
730,200,True
731,16,False
732,23,True
733,11,False
734,12,False
735,12,False
736,14,False
737,19,False
738,25,True
739,18,False
740,30,True
741,23,True
742,18,False
743,9,False
744,16,False
745,51,True
746,14,False
747,17,False
748,23,True
749,21,True
750,20,False
751,18,False
752,21,True
753,7,False
754,13,False
755,200,True
756,19,False
757,16,False
758,18,False
759,14,False
760,16,False
761,17,False
762,15,False
763,14,False
764,12,True
765,16,False
766,25,True
767,9,False
768,16,False
769,13,False
770,14,False
771,81,True
772,14,False
773,15,False
774,16,False
775,15,False
776,18,False
777,14,False
778,18,True
779,18,False
780,18,False
781,14,False
782,22,True
783,13,False
784,14,False
785,200,True
786,13,False
787,27,True
788,16,False
789,103,True
790,20,False
791,17,False
792,200,True
793,200,True
794,14,False
795,14,False
796,17,False
797,19,False
798,200,True
799,18,False
800,19,False
801,15,False
802,15,False
803,15,False
804,14,True
805,15,False
806,18,False
807,18,False
808,19,False
809,17,False
810,46,True
811,18,True
812,13,True
813,19,False
814,7,False
815,17,False
816,50,True
817,17,False
818,12,False
819,22,True
820,23,True
821,13,False
822,12,True
823,16,False
824,14,False
825,200,True
826,15,False
827,11,False
828,200,True
829,16,False
830,10,False
831,13,False
832,25,True
833,11,False
834,200,True
835,200,True
836,18,False
837,147,True
838,15,False
839,9,False
840,15,False
841,17,False
842,18,False
843,12,False
844,13,False
845,14,False
846,15,False
847,16,False
848,14,False
849,11,False
850,13,False
851,10,False
852,29,True
853,11,True
854,20,False
855,200,True
856,12,False
857,15,False
858,9,False
859,20,True
860,200,True
861,13,False
862,13,False
863,12,False
864,16,False
865,18,False
866,14,False
867,14,False
868,13,True
869,13,False
