framework,profile,FR,TTF,APFD,APFD_time,MS,extra
AdaStop,CLEAN,0.4,4.0,0.44025,17.61,,"{""TTF_tests"": 4.0, ""TTF_seconds"": 32.61036294299993, ""total_seconds"": 32.610407194999425}"
F-Oracle,CLEAN,0.09,6.0,0.4072222222222222,3.665,,"{""TTF_tests"": 6.0, ""TTF_seconds"": 1.0150176419992931, ""total_seconds"": 18.511617358000876}"
CUSUM-RL,CLEAN,0.08,3.0,0.52625,4.21,,"{""TTF_tests"": 3.0, ""TTF_seconds"": 1.1820427969996672, ""total_seconds"": 32.09143036400019}"
DLBT,CLEAN,0.12266666666666666,6.0,0.5198840579710144,47.82933333333333,,"{""TTF_tests"": 6.0, ""TTF_seconds"": 1.9342262409991235, ""total_seconds"": 231.94187449799938}"
