failure,steps,state,mutant
0,1,0,RN
0,1,0,RN
0,1,0,RN
0,1,0,RN
0,1,0,RN
0,1,0,RN
0,1,0,RN
0,1,0,RN
0,1,0,RN
0,1,0,RN
0,1,0,RN
0,1,0,RN
0,1,0,RN
0,1,0,RN
0,1,0,RN
0,1,0,RN
0,1,0,RN
0,1,0,RN
0,1,0,RN
0,1,0,RN
0,1,0,RN
0,1,0,RN
0,1,0,RN
0,1,0,RN
0,1,0,RN
0,1,0,RN
0,1,0,RN
0,1,0,RN
0,1,0,RN
0,1,0,RN
0,1,0,RN
0,1,0,RN
0,1,0,RN
0,1,0,RN
0,1,0,RN
0,1,0,RN
0,1,0,RN
0,1,0,RN
0,1,0,RN
0,1,0,RN
0,1,0,RN
0,1,0,RN
0,1,0,RN
0,1,0,RN
0,1,0,RN
0,1,0,RN
0,1,0,RN
0,1,0,RN
0,1,0,RN
0,1,0,RN
0,1,0,RN
0,1,0,RN
0,1,0,RN
0,1,0,RN
0,1,0,RN
0,1,0,RN
0,1,0,RN
0,1,0,RN
0,1,0,RN
0,1,0,RN
0,1,0,RN
0,1,0,RN
0,1,0,RN
0,1,0,RN
0,1,0,RN
0,1,0,RN
0,1,0,RN
0,1,0,RN
0,1,0,RN
0,1,0,RN
0,1,0,RN
0,1,0,RN
0,1,0,RN
0,1,0,RN
0,1,0,RN
0,1,0,RN
0,1,0,RN
0,1,0,RN
0,1,0,RN
0,1,0,RN
0,1,0,RN
0,1,0,RN
0,1,0,RN
0,1,0,RN
0,1,0,RN
0,1,0,RN
0,1,0,RN
0,1,0,RN
0,1,0,RN
0,1,0,RN
0,1,0,RN
0,1,0,RN
0,1,0,RN
0,1,0,RN
0,1,0,RN
0,1,0,RN
0,1,0,RN
0,1,0,RN
0,1,0,RN
0,1,0,RN
0,1,0,RN
0,1,0,RN
0,1,0,RN
0,1,0,RN
0,1,0,RN
0,1,0,RN
0,1,0,RN
0,1,0,RN
0,1,0,RN
0,1,0,RN
0,1,0,RN
0,1,0,RN
0,1,0,RN
0,1,0,RN
0,1,0,RN
0,1,0,RN
0,1,0,RN
0,1,0,RN
0,1,0,RN
0,1,0,RN
0,1,0,RN
0,1,0,RN
0,1,0,RN
0,1,0,RN
0,1,0,RN
0,1,0,RN
0,1,0,RN
0,1,0,RN
0,1,0,RN
0,1,0,RN
0,1,0,RN
0,1,0,RN
0,1,0,RN
0,1,0,RN
0,1,0,RN
0,1,0,RN
0,1,0,RN
0,1,0,RN
0,1,0,RN
0,1,0,RN
0,1,0,RN
0,1,0,RN
0,1,0,RN
0,1,0,RN
0,1,0,RN
0,1,0,RN
0,1,0,RN
0,1,0,RN
0,1,0,RN
0,1,0,RN
0,1,0,RN
0,1,0,RN
0,1,0,RN
0,1,0,RN
0,1,0,RN
0,1,0,RN
0,1,0,RN
0,1,0,RN
0,1,0,RN
0,1,0,RN
0,1,0,RN
0,1,0,RN
0,1,0,RN
0,1,0,RN
0,1,0,RN
0,1,0,RN
0,1,0,RN
0,1,0,RN
0,1,0,RN
0,1,0,RN
0,1,0,RN
0,1,0,RN
0,1,0,RN
0,1,0,RN
0,1,0,RN
0,1,0,RN
0,1,0,RN
0,1,0,RN
0,1,0,RN
0,1,0,RN
0,1,0,RN
0,1,0,RN
0,1,0,RN
0,1,0,RN
0,1,0,RN
0,1,0,RN
0,1,0,RN
0,1,0,RN
0,1,0,RN
0,1,0,RN
0,1,0,RN
0,1,0,RN
0,1,0,RN
0,1,0,RN
0,1,0,RN
0,1,0,RN
0,1,0,RN
0,1,0,RN
0,1,0,RN
0,1,0,RN
0,1,0,RN
0,1,0,RN
0,1,0,RN
0,1,0,RN
0,1,0,RN
0,1,0,RN
0,1,0,RN
0,1,0,RN
0,1,0,RN
0,1,0,RN
0,1,0,RN
0,1,0,RN
0,1,0,RN
0,1,0,RN
0,1,0,RN
0,1,0,RN
0,1,0,RN
0,1,0,RN
0,1,0,RN
0,1,0,RN
0,1,0,RN
0,1,0,RN
0,1,0,RN
0,1,0,RN
0,1,0,RN
0,1,0,RN
0,1,0,RN
0,1,0,RN
0,1,0,RN
0,1,0,RN
0,1,0,RN
0,1,0,RN
0,1,0,RN
0,1,0,RN
0,1,0,RN
0,1,0,RN
0,1,0,RN
0,1,0,RN
0,1,0,RN
0,1,0,RN
0,1,0,RN
0,1,0,RN
0,1,0,RN
0,1,0,RN
0,1,0,RN
0,1,0,RN
0,1,0,RN
0,1,0,RN
0,1,0,RN
0,1,0,RN
0,1,0,RN
0,1,0,RN
0,1,0,RN
0,1,0,RN
0,1,0,RN
0,1,0,RN
0,1,0,RN
0,1,0,RN
0,1,0,RN
0,1,0,RN
0,1,0,RN
0,1,0,RN
0,1,0,RN
0,1,0,RN
0,1,0,RN
0,1,0,RN
0,1,0,RN
0,1,0,RN
0,1,0,RN
0,1,0,RN
0,1,0,RN
0,1,0,RN
0,1,0,RN
0,1,0,RN
0,1,0,RN
0,1,0,RN
0,1,0,RN
0,1,0,RN
0,1,0,RN
0,1,0,RN
0,1,0,RN
0,1,0,RN
0,1,0,RN
0,1,0,RN
0,1,0,RN
0,1,0,RN
0,1,0,RN
0,1,0,RN
0,1,0,RN
0,1,0,RN
0,1,0,RN
0,1,0,RN
0,1,0,RN
0,1,0,RN
0,1,0,RN
0,1,0,RN
0,1,0,RN
0,1,0,RN
0,1,0,RN
0,1,0,RN
0,1,0,RN
0,1,0,RN
0,1,0,RN
0,1,0,RN
0,1,0,RN
0,1,0,RN
0,1,0,RN
0,1,0,RN
0,1,0,RN
0,1,0,RN
0,1,0,RN
0,1,0,RN
0,1,0,RN
0,1,0,RN
0,1,0,RN
0,1,0,RN
0,1,0,RN
0,1,0,RN
0,1,0,RN
0,1,0,RN
0,1,0,RN
0,1,0,RN
0,1,0,RN
0,1,0,RN
0,1,0,RN
0,1,0,RN
0,1,0,RN
0,1,0,RN
0,1,0,RN
0,1,0,RN
0,1,0,RN
0,1,0,RN
0,1,0,RN
0,1,0,RN
0,1,0,RN
0,1,0,RN
0,1,0,RN
0,1,0,RN
0,1,0,RN
0,1,0,RN
0,1,0,RN
0,1,0,RN
0,1,0,RN
0,1,0,RN
0,1,0,RN
0,1,0,RN
0,1,0,RN
0,1,0,RN
0,1,0,RN
0,1,0,RN
