state,steps,failure
143,15,False
143,18,False
143,18,False
143,16,False
143,18,False
143,20,False
143,19,False
143,16,False
143,18,False
143,21,True
143,16,False
143,18,False
144,17,False
144,15,False
144,17,False
144,16,False
144,20,False
144,14,False
144,16,False
144,15,False
144,14,False
144,13,False
144,14,False
144,15,False
144,15,False
144,14,False
144,16,False
144,17,False
144,15,False
146,15,False
146,15,False
146,17,False
146,15,False
146,15,False
146,18,False
146,15,False
146,14,False
146,15,False
146,17,False
146,15,False
146,13,False
146,14,False
146,19,False
146,19,False
146,17,False
146,19,False
148,13,False
148,17,False
148,14,False
148,15,False
148,14,False
148,16,False
148,12,False
148,17,False
148,11,False
148,13,False
148,14,False
148,14,False
148,16,False
148,15,False
148,16,False
148,14,False
148,13,False
162,16,False
162,18,False
162,15,False
162,16,False
162,14,False
162,12,False
162,12,False
162,15,False
162,17,False
162,14,False
162,12,False
162,15,False
162,18,False
162,16,False
162,18,False
162,16,False
162,16,False
164,14,False
164,16,False
164,16,False
164,16,False
164,13,False
164,14,False
164,16,False
164,16,False
164,16,False
164,15,False
164,16,False
164,15,False
164,14,False
164,16,False
164,14,False
164,18,False
164,13,False
166,15,False
166,16,False
166,17,False
166,14,False
166,14,False
166,16,False
166,18,False
166,18,False
166,18,False
166,14,False
166,20,False
166,16,False
166,18,False
166,14,False
166,12,False
166,15,False
166,18,False
169,18,False
169,18,False
169,20,False
169,20,False
169,20,False
169,21,True
169,18,False
169,18,False
169,20,False
169,18,False
169,18,False
169,18,False
169,22,True
169,18,False
169,19,False
169,22,True
169,20,False
171,17,False
171,18,False
171,19,False
171,19,False
171,17,False
171,19,False
171,15,False
171,18,False
171,18,False
171,19,False
171,17,False
171,17,False
171,18,False
171,16,False
171,18,False
171,17,False
171,20,False
174,16,False
174,18,False
174,16,False
174,14,False
174,16,False
174,14,False
174,16,False
174,17,False
174,17,False
174,17,False
174,16,False
174,12,False
174,15,False
174,17,False
174,16,False
174,16,False
174,14,False
204,20,False
204,18,False
204,18,False
204,19,False
204,21,True
204,18,False
204,22,True
204,19,False
204,20,False
204,16,False
204,16,False
204,20,False
204,16,False
204,18,False
204,18,False
204,22,True
204,19,False
213,16,False
213,15,False
213,16,False
213,15,False
213,15,False
213,16,False
213,17,False
213,18,False
213,16,False
213,15,False
213,12,False
213,17,False
213,15,False
213,18,False
213,16,False
213,16,False
213,16,False
222,9,False
222,15,False
222,12,False
222,16,False
222,13,False
222,10,False
222,13,False
222,11,False
222,13,False
222,11,False
222,15,False
222,11,False
222,10,False
222,12,False
222,10,False
222,9,False
222,14,False
224,19,False
224,19,False
224,18,False
224,20,False
224,19,False
224,17,False
224,19,False
224,19,False
224,21,True
224,21,True
224,21,True
224,17,False
224,19,False
224,17,False
224,18,False
224,15,False
224,18,False
227,14,False
227,14,False
227,12,False
227,17,False
227,17,False
227,17,False
227,14,False
227,17,False
227,16,False
227,16,False
227,16,False
227,16,False
227,16,False
227,16,False
227,17,False
227,15,False
227,18,False
228,11,False
228,15,False
228,11,False
228,13,False
228,11,False
228,13,False
228,10,False
228,13,False
228,13,False
228,13,False
228,12,False
228,10,False
228,12,False
228,10,False
228,15,False
228,14,False
228,13,False
249,20,False
249,18,False
249,17,False
249,20,False
249,16,False
249,17,False
249,17,False
249,18,False
249,20,False
249,18,False
249,20,False
249,19,False
249,20,False
249,14,False
249,18,False
249,18,False
249,18,False
252,16,False
252,17,False
252,14,False
252,19,False
252,17,False
252,18,False
252,17,False
252,17,False
252,16,False
252,16,False
252,16,False
252,14,False
252,14,False
252,14,False
252,17,False
252,16,False
252,16,False
254,18,False
254,15,False
254,16,False
254,16,False
254,16,False
254,17,False
254,14,False
254,14,False
254,14,False
254,14,False
254,18,False
254,16,False
254,16,False
254,16,False
254,18,False
254,15,False
254,15,False
261,17,False
261,19,False
261,20,False
261,16,False
261,17,False
261,21,True
261,20,False
261,21,True
261,19,False
261,20,False
261,17,False
261,18,False
261,17,False
261,20,False
261,19,False
261,18,False
261,19,False
262,13,False
262,15,False
262,15,False
262,13,False
262,14,False
262,14,False
262,15,False
262,17,False
262,17,False
262,15,False
262,13,False
262,11,False
262,15,False
262,15,False
262,17,False
262,13,False
262,18,False
263,20,False
263,20,False
263,21,True
263,18,False
263,16,False
263,18,False
263,18,False
263,14,False
263,18,False
263,19,False
263,18,False
263,19,False
263,16,False
263,18,False
263,18,False
263,19,False
263,16,False
269,17,False
269,15,False
269,18,False
269,17,False
269,21,True
269,15,False
269,17,False
269,20,False
269,22,True
269,21,True
269,20,False
269,19,False
269,19,False
269,19,False
269,18,False
269,22,True
269,17,False
281,20,False
281,18,False
281,19,False
281,16,False
281,18,False
281,18,False
281,19,False
281,18,False
281,17,False
281,19,False
281,22,True
281,18,False
281,18,False
281,18,False
281,17,False
281,19,False
281,21,True
291,17,False
291,20,False
291,20,False
291,18,False
291,17,False
291,17,False
291,20,False
291,17,False
291,19,False
291,19,False
291,18,False
291,18,False
291,19,False
291,18,False
291,17,False
291,20,False
291,20,False
294,16,False
294,15,False
294,15,False
294,16,False
294,14,False
294,15,False
294,15,False
294,13,False
294,15,False
294,15,False
294,17,False
294,14,False
294,14,False
294,16,False
294,15,False
294,16,False
294,15,False
302,14,False
302,12,False
302,11,False
302,14,False
302,13,False
302,12,False
302,13,False
302,12,False
302,11,False
302,12,False
302,13,False
302,11,False
302,13,False
302,12,False
302,12,False
302,13,False
302,13,False
307,17,False
307,17,False
307,16,False
307,16,False
307,16,False
307,18,False
307,16,False
307,19,False
307,18,False
307,17,False
307,17,False
307,15,False
307,18,False
307,14,False
307,19,False
307,15,False
307,14,False
308,12,False
308,13,False
308,13,False
308,11,False
308,10,False
308,9,False
308,8,False
308,11,False
308,9,False
308,12,False
308,9,False
308,11,False
308,11,False
308,9,False
308,13,False
308,8,False
308,10,False
312,17,False
312,17,False
312,20,False
312,18,False
312,16,False
312,20,False
312,18,False
312,19,False
312,20,False
312,18,False
312,16,False
312,16,False
312,18,False
312,17,False
312,17,False
312,16,False
312,18,False
314,17,False
314,20,False
314,18,False
314,20,False
314,19,False
314,17,False
314,18,False
314,18,False
314,18,False
314,17,False
314,18,False
314,18,False
314,19,False
314,19,False
314,17,False
314,18,False
314,20,False
324,18,False
324,20,False
324,21,True
324,19,False
324,19,False
324,19,False
324,20,False
324,16,False
324,18,False
324,20,False
324,21,True
324,21,True
324,17,False
324,16,False
324,18,False
324,19,False
324,17,False
332,18,False
332,16,False
332,15,False
332,18,False
332,16,False
332,18,False
332,19,False
332,17,False
332,17,False
332,17,False
332,18,False
332,18,False
332,16,False
332,16,False
332,18,False
332,16,False
332,16,False
343,17,False
343,14,False
343,17,False
343,16,False
343,15,False
343,14,False
343,18,False
343,18,False
343,16,False
343,16,False
343,17,False
343,19,False
343,17,False
343,15,False
343,17,False
343,18,False
343,18,False
344,17,False
344,18,False
344,20,False
344,16,False
344,15,False
344,17,False
344,19,False
344,17,False
344,21,True
344,20,False
344,16,False
344,18,False
344,18,False
344,15,False
344,18,False
344,19,False
344,20,False
346,19,False
346,19,False
346,15,False
346,20,False
346,16,False
346,17,False
346,15,False
346,19,False
346,19,False
346,18,False
346,18,False
346,20,False
346,19,False
346,19,False
346,19,False
346,19,False
346,18,False
373,11,False
373,12,False
373,13,False
373,14,False
373,10,False
373,10,False
373,13,False
373,12,False
373,11,False
373,9,False
373,12,False
373,15,False
373,12,False
373,10,False
373,14,False
373,15,False
373,12,False
381,21,True
381,21,True
381,21,True
381,21,True
381,20,False
381,19,False
381,18,False
381,17,False
381,20,False
381,17,False
381,18,False
381,21,True
381,19,False
381,20,False
381,21,True
381,19,False
381,20,False
391,17,False
391,17,False
391,20,False
391,20,False
391,17,False
391,18,False
391,20,False
391,18,False
391,18,False
391,16,False
391,20,False
391,17,False
391,20,False
391,19,False
391,17,False
391,18,False
391,19,False
393,11,False
393,13,False
393,13,False
393,12,False
393,14,False
393,13,False
393,13,False
393,12,False
393,10,False
393,11,False
393,10,False
393,11,False
393,10,False
393,9,False
393,10,False
393,11,False
393,9,False
394,14,False
394,16,False
394,15,False
394,12,False
394,14,False
394,14,False
394,12,False
394,15,False
394,15,False
394,15,False
394,13,False
394,12,False
394,13,False
394,11,False
394,14,False
394,14,False
394,11,False
401,16,False
401,18,False
401,16,False
401,16,False
401,14,False
401,17,False
401,18,False
401,17,False
401,15,False
401,15,False
401,16,False
401,16,False
401,17,False
401,16,False
401,15,False
401,16,False
401,15,False
402,12,False
402,12,False
402,14,False
402,13,False
402,13,False
402,12,False
402,12,False
402,11,False
402,12,False
402,14,False
402,12,False
402,13,False
402,14,False
402,12,False
402,12,False
402,13,False
402,13,False
404,19,False
404,19,False
404,22,True
404,20,False
404,22,True
404,20,False
404,20,False
404,21,True
404,20,False
404,20,False
404,21,True
404,20,False
404,21,True
404,20,False
404,18,False
404,22,True
404,20,False
408,8,False
408,10,False
408,9,False
408,10,False
408,11,False
408,10,False
408,8,False
408,9,False
408,10,False
408,10,False
408,10,False
408,8,False
408,10,False
408,10,False
408,11,False
408,8,False
408,8,False
414,19,False
414,19,False
414,19,False
414,17,False
414,20,False
414,17,False
414,18,False
414,19,False
414,16,False
414,18,False
414,20,False
414,18,False
414,20,False
414,18,False
414,18,False
414,19,False
414,16,False
421,16,False
421,17,False
421,18,False
421,19,False
421,18,False
421,20,False
421,17,False
421,17,False
421,17,False
421,18,False
421,19,False
421,17,False
421,16,False
421,17,False
421,19,False
421,17,False
421,18,False
431,17,False
431,18,False
431,14,False
431,17,False
431,17,False
431,17,False
431,18,False
431,18,False
431,18,False
431,15,False
431,18,False
431,19,False
431,18,False
431,16,False
431,18,False
431,18,False
431,17,False
446,18,False
446,20,False
446,16,False
446,19,False
446,20,False
446,19,False
446,18,False
446,18,False
446,19,False
446,20,False
446,20,False
446,20,False
446,18,False
446,17,False
446,20,False
446,17,False
446,18,False
453,13,False
453,16,False
453,16,False
453,17,False
453,16,False
453,12,False
453,16,False
453,14,False
453,16,False
453,16,False
453,14,False
453,16,False
453,16,False
453,15,False
453,16,False
453,15,False
453,16,False
462,18,False
462,14,False
462,17,False
462,17,False
462,18,False
462,15,False
462,18,False
462,15,False
462,16,False
462,14,False
462,17,False
462,17,False
462,15,False
462,15,False
462,15,False
462,16,False
462,15,False
473,11,False
473,9,False
473,11,False
473,10,False
473,11,False
473,10,False
473,11,False
473,11,False
473,10,False
473,9,False
473,10,False
473,13,False
473,14,False
473,10,False
473,11,False
473,9,False
473,15,False
474,13,False
474,12,False
474,11,False
474,13,False
474,12,False
474,12,False
474,16,False
474,13,False
474,13,False
474,11,False
474,14,False
474,14,False
474,15,False
474,11,False
474,13,False
474,12,False
474,13,False
492,13,False
492,13,False
492,14,False
492,14,False
492,13,False
492,12,False
492,11,False
492,12,False
492,14,False
492,13,False
492,13,False
492,14,False
492,14,False
492,13,False
492,15,False
492,16,False
492,13,False
493,14,False
493,14,False
493,12,False
493,11,False
493,13,False
493,11,False
493,13,False
493,13,False
493,14,False
493,12,False
493,9,False
493,10,False
493,12,False
493,10,False
493,10,False
493,10,False
493,12,False
308,7,False
451,15,False
451,15,False
189,17,False
149,15,False
4,18,False
314,15,False
214,14,False
469,17,False
424,17,False
373,8,False
207,13,False
291,15,False
341,15,False
323,13,False
421,15,False
434,15,False
388,13,False
441,16,False
422,11,False
247,11,False
368,12,False
386,13,False
128,10,False
94,14,False
343,14,False
66,11,False
282,12,False
181,17,False
6,18,False
262,11,False
306,17,False
241,14,False
231,12,False
74,13,False
254,12,False
214,14,False
468,13,False
