idx,state,steps,failure,mutant
199,66,12,False,gamma_0.70
200,23,11,False,gamma_0.70
201,227,13,False,gamma_0.70
202,31,16,False,gamma_0.70
203,214,7,False,gamma_0.70
204,169,7,False,gamma_0.70
205,11,9,False,gamma_0.70
206,246,11,False,gamma_0.70
207,172,14,False,gamma_0.70
208,208,9,False,gamma_0.70
209,308,6,False,gamma_0.70
210,289,16,False,gamma_0.70
211,248,15,False,gamma_0.70
212,62,16,False,gamma_0.70
213,467,15,False,gamma_0.70
214,453,16,False,gamma_0.70
215,271,14,False,gamma_0.70
216,326,13,False,gamma_0.70
217,461,14,False,gamma_0.70
218,184,12,False,gamma_0.70
219,181,12,False,gamma_0.70
220,421,12,False,gamma_0.70
221,232,18,False,gamma_0.70
222,128,13,False,gamma_0.70
223,44,11,False,gamma_0.70
224,166,16,False,gamma_0.70
225,449,11,False,gamma_0.70
226,113,16,False,gamma_0.70
227,24,17,False,gamma_0.70
228,73,12,False,gamma_0.70
229,451,17,False,gamma_0.70
230,473,17,False,gamma_0.70
231,466,13,False,gamma_0.70
232,304,16,False,gamma_0.70
233,193,14,False,gamma_0.70
234,109,8,False,gamma_0.70
235,213,16,False,gamma_0.70
236,168,13,False,gamma_0.70
237,288,16,False,gamma_0.70
238,352,16,False,gamma_0.70
239,448,11,False,gamma_0.70
240,93,11,False,gamma_0.70
241,426,10,False,gamma_0.70
242,483,14,False,gamma_0.70
243,261,13,False,gamma_0.70
244,491,13,False,gamma_0.70
245,84,12,False,gamma_0.70
246,301,14,False,gamma_0.70
247,192,14,False,gamma_0.70
248,47,14,False,gamma_0.70
249,292,16,False,gamma_0.70
250,309,10,False,gamma_0.70
251,406,14,False,gamma_0.70
252,63,14,False,gamma_0.70
253,143,15,False,gamma_0.70
254,331,14,False,gamma_0.70
255,121,16,False,gamma_0.70
256,86,10,False,gamma_0.70
257,207,13,False,gamma_0.70
258,151,16,False,gamma_0.70
259,247,16,False,gamma_0.70
260,202,8,False,gamma_0.70
261,164,12,False,gamma_0.70
262,471,12,False,gamma_0.70
263,287,16,False,gamma_0.70
264,46,14,False,gamma_0.70
265,91,12,False,gamma_0.70
266,83,16,False,gamma_0.70
267,142,13,False,gamma_0.70
268,111,15,False,gamma_0.70
269,293,13,False,gamma_0.70
270,408,12,False,gamma_0.70
271,344,15,False,gamma_0.70
272,431,13,False,gamma_0.70
273,9,13,False,gamma_0.70
274,224,13,False,gamma_0.70
275,481,10,False,gamma_0.70
276,206,10,False,gamma_0.70
277,389,11,False,gamma_0.70
278,212,14,False,gamma_0.70
279,243,18,False,gamma_0.70
280,354,16,False,gamma_0.70
281,108,11,False,gamma_0.70
282,64,13,False,gamma_0.70
283,147,11,False,gamma_0.70
284,428,11,False,gamma_0.70
285,28,11,False,gamma_0.70
286,21,11,False,gamma_0.70
287,333,12,False,gamma_0.70
288,251,16,False,gamma_0.70
289,367,17,False,gamma_0.70
290,71,9,False,gamma_0.70
291,433,16,False,gamma_0.70
292,69,17,False,gamma_0.70
293,343,16,False,gamma_0.70
294,144,13,False,gamma_0.70
295,234,14,False,gamma_0.70
296,49,13,False,gamma_0.70
297,53,15,False,gamma_0.70
298,381,12,False,gamma_0.70
299,264,9,False,gamma_0.70
