return,steps,failure,wall_dt,do_count,stall
0.09999999999999998,142,0,0.39805102348327637,4,0
0.9000000000000001,148,0,0.41114068031311035,4,0
-0.39999999999999986,190,0,0.5197243690490723,5,0
-0.8999999999999999,44,1,0.19668889045715332,0,0
2.0999999999999996,174,0,0.5110199451446533,9,0
2.0999999999999996,159,0,0.4564805030822754,2,0
-1.6653345369377348e-16,169,0,0.4797661304473877,5,0
1.1000000000000003,200,0,0.5112717151641846,5,0
-1.2,36,1,0.1715390682220459,0,0
-1.6653345369377348e-16,193,0,0.5404095649719238,3,0
-0.2,148,0,0.4078407287597656,3,0
1.1,194,0,0.5055294036865234,6,0
0.10000000000000003,171,0,0.4763009548187256,4,0
1.1,375,0,0.9481112957000732,14,0
1.0,180,1,0.4891953468322754,1,1
0.10000000000000009,162,0,0.4471898078918457,4,0
0.10000000000000003,162,0,0.41939330101013184,4,0
-0.2999999999999999,152,0,0.41626453399658203,7,0
2.0999999999999996,153,0,0.42670536041259766,6,0
-0.19999999999999984,179,0,0.49071764945983887,2,0
0.10000000000000003,187,0,0.48489856719970703,7,0
0.09999999999999998,126,0,0.37445974349975586,8,0
1.0,180,1,0.4592251777648926,2,1
3.0,142,0,0.4104893207550049,5,0
0.6000000000000003,168,0,0.47679734230041504,2,0
1.1,215,0,0.5559127330780029,9,0
0.10000000000000009,182,0,0.5135564804077148,7,0
0.10000000000000009,170,0,0.43513941764831543,2,0
1.1,155,0,0.4429302215576172,7,0
-0.19999999999999984,150,0,0.3847019672393799,1,0
1.1000000000000003,178,0,0.4749464988708496,10,0
0.10000000000000009,184,0,0.5059833526611328,4,0
-2.220446049250313e-16,106,0,0.33828234672546387,4,0
0.10000000000000003,163,0,0.4515376091003418,6,0
0.0,165,0,0.4459109306335449,3,0
0.10000000000000009,287,0,0.7315037250518799,8,0
1.0000000000000002,165,0,0.46312737464904785,6,0
-2.220446049250313e-16,198,0,0.5239119529724121,4,0
2.7755575615628914e-17,181,0,0.4841306209564209,6,0
0.09999999999999998,156,0,0.4312422275543213,6,0
0.8,171,0,0.4711720943450928,8,0
2.0999999999999996,178,0,0.4754641056060791,4,0
1.1102230246251565e-16,159,0,0.43343639373779297,7,0
2.099999999999999,212,0,0.5632174015045166,3,0
0.09999999999999998,129,0,0.38382649421691895,3,0
1.1000000000000003,156,0,0.4542064666748047,8,0
0.09999999999999992,150,0,0.4232187271118164,4,0
-0.30000000000000004,156,0,0.4187479019165039,6,0
-0.3999999999999999,150,0,0.3890659809112549,5,0
0.09999999999999998,171,0,0.4364502429962158,4,0
3.099999999999999,191,0,0.5227177143096924,5,0
-0.4999999999999999,148,0,0.4105076789855957,1,0
1.6999999999999995,190,0,0.5253989696502686,9,0
0.09999999999999981,184,0,0.5075654983520508,4,0
-0.3999999999999999,207,0,0.5092442035675049,6,0
1.1000000000000003,185,0,0.48506808280944824,6,0
2.0,180,1,0.4860355854034424,2,1
1.0000000000000002,167,0,0.44489097595214844,7,0
2.099999999999999,180,0,0.4608166217803955,3,0
0.8000000000000003,151,0,0.41399669647216797,3,0
-1.0,17,1,0.1324479579925537,1,0
1.9999999999999996,156,0,0.4228684902191162,5,0
-0.09999999999999998,155,1,0.44149017333984375,0,0
2.8000000000000003,206,0,0.6018154621124268,10,0
1.1102230246251565e-16,174,0,0.4817774295806885,2,0
3.5,249,0,0.6400735378265381,9,0
1.1,186,0,0.4693732261657715,6,0
0.10000000000000009,144,0,0.39968085289001465,7,0
-1.5,54,1,0.20624876022338867,2,0
0.10000000000000009,140,0,0.3898601531982422,3,0
0.09999999999999992,171,0,0.457993745803833,4,0
0.10000000000000003,231,0,0.6228196620941162,8,0
0.8,180,1,0.4893374443054199,1,1
2.6999999999999993,270,0,0.723438024520874,10,0
1.7,152,0,0.41465258598327637,5,0
0.10000000000000009,153,0,0.4240086078643799,1,0
-1.0,142,1,0.3913257122039795,1,0
0.0,171,0,0.4572615623474121,4,0
1.1000000000000003,178,0,0.45381832122802734,7,0
0.19999999999999996,180,1,0.4988996982574463,2,1
0.10000000000000009,167,0,0.4592607021331787,2,0
5.551115123125783e-17,148,1,0.382568359375,0,0
0.10000000000000003,143,0,0.39096856117248535,8,0
1.5999999999999994,151,0,0.4056742191314697,4,0
0.10000000000000009,130,0,0.3616065979003906,3,0
-0.39999999999999997,153,0,0.4021117687225342,3,0
-0.39999999999999997,178,0,0.46138882637023926,4,0
-1.6653345369377348e-16,221,0,0.6154963970184326,4,0
0.1999999999999999,180,1,0.4988093376159668,2,1
0.10000000000000003,153,0,0.4219694137573242,5,0
2.8,209,0,0.5774803161621094,5,0
0.10000000000000009,171,0,0.4421555995941162,3,0
0.10000000000000009,156,0,0.384829044342041,5,0
0.0,139,0,0.3908212184906006,4,0
2.0999999999999996,192,0,0.5218324661254883,4,0
-5.551115123125783e-17,169,0,0.468228816986084,5,0
1.1000000000000003,135,0,0.4105708599090576,5,0
-0.09999999999999998,151,0,0.4614601135253906,5,0
1.9999999999999998,152,0,0.41295552253723145,3,0
-1.0999999999999999,164,0,0.4841806888580322,2,0
5.551115123125783e-17,133,0,0.38670992851257324,1,0
-0.4,138,0,0.37655067443847656,3,0
-0.19999999999999973,169,0,0.46259212493896484,3,0
5.551115123125783e-17,146,0,0.3853468894958496,3,0
0.10000000000000009,173,0,0.44472575187683105,8,0
-1.2999999999999998,70,1,0.2457265853881836,2,0
-1.2,62,1,0.21806764602661133,0,0
1.0,180,1,0.5021231174468994,2,1
-1.0,105,1,0.34035348892211914,3,0
