return,steps,failure,wall_dt,do_count,stall
-0.2999999999999999,154,0,0.4064304828643799,4,0
1.0,180,1,0.4912295341491699,2,1
0.10000000000000003,164,0,0.4310460090637207,3,0
2.099999999999999,207,0,0.5404849052429199,4,0
-0.3999999999999999,172,0,0.4537968635559082,5,0
1.7999999999999996,155,0,0.4257514476776123,2,0
1.1102230246251565e-16,143,0,0.3966403007507324,9,0
1.9999999999999998,185,0,0.5439052581787109,9,0
0.0,143,0,0.38443446159362793,7,0
1.9999999999999998,219,0,0.5637350082397461,5,0
1.1102230246251565e-16,178,0,0.4759039878845215,4,0
0.0,187,0,0.4829983711242676,3,0
0.10000000000000009,139,0,0.38315796852111816,3,0
0.9000000000000001,151,0,0.4291837215423584,5,0
-0.3999999999999999,162,0,0.45664167404174805,6,0
1.5999999999999994,218,0,0.6201992034912109,8,0
5.551115123125783e-17,243,0,0.6279637813568115,10,0
-0.39999999999999997,152,0,0.3967602252960205,3,0
-0.30000000000000004,181,0,0.5453062057495117,4,0
1.1,165,0,0.45795249938964844,5,0
0.09999999999999992,156,0,0.42116641998291016,2,0
0.09999999999999992,170,0,0.4438016414642334,3,0
0.8,180,1,0.47997379302978516,2,1
0.09999999999999998,189,0,0.49991512298583984,3,0
-0.49999999999999994,149,0,0.4101288318634033,2,0
0.09999999999999992,156,0,0.4650766849517822,4,0
0.0,183,0,0.4685490131378174,4,0
-0.20000000000000007,169,0,0.498948335647583,3,0
1.0000000000000002,226,0,0.5487353801727295,8,0
0.8000000000000003,178,0,0.4975442886352539,6,0
3.099999999999999,201,0,0.5623784065246582,9,0
1.7999999999999996,170,0,0.4540541172027588,2,0
0.2999999999999998,180,1,0.52728271484375,2,1
0.20000000000000007,180,1,0.469775915145874,2,1
1.0,180,1,0.45356178283691406,2,1
-0.30000000000000004,181,0,0.5091464519500732,7,0
0.10000000000000003,148,0,0.3784372806549072,1,0
1.0000000000000002,102,0,0.33147168159484863,4,0
0.09999999999999987,137,0,0.41269826889038086,2,0
1.5999999999999999,205,0,0.5381035804748535,3,0
1.0000000000000002,157,0,0.4340932369232178,2,0
0.10000000000000003,161,0,0.42504072189331055,2,0
-0.4999999999999999,145,1,0.40106987953186035,0,0
5.551115123125783e-17,171,0,0.44101572036743164,3,0
0.6000000000000001,161,0,0.4528539180755615,5,0
0.9000000000000001,208,0,0.5760753154754639,5,0
1.9999999999999998,259,0,0.7037005424499512,7,0
-0.29999999999999993,152,0,0.41995859146118164,2,0
1.0000000000000002,194,0,0.5273244380950928,5,0
0.6000000000000001,142,0,0.38101720809936523,4,0
0.10000000000000009,152,0,0.3861420154571533,5,0
1.1000000000000003,167,0,0.4268620014190674,4,0
1.1,204,0,0.5352072715759277,6,0
1.1,51,0,0.21833491325378418,1,0
1.9999999999999993,316,0,0.7634665966033936,16,0
-5.551115123125783e-17,101,1,0.32259535789489746,0,0
0.09999999999999992,170,0,0.45577287673950195,4,0
0.10000000000000003,135,0,0.3609747886657715,1,0
0.9000000000000001,218,0,0.5921463966369629,4,0
0.10000000000000009,162,0,0.4492619037628174,1,0
2.0,150,0,0.43027591705322266,2,0
1.1,108,0,0.3375835418701172,4,0
0.10000000000000003,119,0,0.3390011787414551,1,0
0.0,171,0,0.47228431701660156,3,0
0.09999999999999998,156,0,0.4286930561065674,4,0
0.10000000000000003,162,0,0.44661736488342285,3,0
1.0,180,1,0.4565303325653076,2,1
-8.326672684688674e-17,230,0,0.5940747261047363,5,0
0.09999999999999998,60,0,0.23562216758728027,3,0
0.09999999999999981,224,0,0.6285533905029297,4,0
0.0,151,0,0.4221045970916748,2,0
0.10000000000000003,177,0,0.47814202308654785,2,0
0.8000000000000003,163,0,0.42958855628967285,3,0
-5.551115123125783e-17,83,0,0.2857816219329834,2,0
-0.9000000000000001,85,1,0.2573049068450928,2,0
-1.0,88,1,0.2744789123535156,2,0
2.1,168,0,0.43406200408935547,8,0
0.09999999999999998,139,0,0.4032928943634033,2,0
0.10000000000000003,164,0,0.43402719497680664,3,0
-1.1102230246251565e-16,141,0,0.40675854682922363,6,0
-5.551115123125783e-17,66,0,0.23833060264587402,3,0
0.0,141,0,0.38993358612060547,3,0
-0.8999999999999999,45,1,0.18661975860595703,1,0
3.099999999999999,202,0,0.5628049373626709,5,0
1.1,171,0,0.48604655265808105,3,0
1.7999999999999996,174,0,0.46606874465942383,7,0
1.1,146,0,0.4106628894805908,5,0
0.5000000000000002,152,0,0.4246180057525635,6,0
1.4999999999999998,207,0,0.5407125949859619,3,0
1.0000000000000002,194,0,0.5209953784942627,7,0
1.9999999999999998,157,0,0.4459545612335205,4,0
0.09999999999999992,175,0,0.4619414806365967,5,0
2.7755575615628914e-17,54,0,0.21140265464782715,2,0
-0.10000000000000009,166,0,0.44507908821105957,3,0
3.099999999999999,292,0,0.7669675350189209,10,0
0.6000000000000001,157,0,0.4665348529815674,7,0
1.5999999999999994,145,0,0.39260411262512207,4,0
1.5999999999999994,172,0,0.4739542007446289,3,0
5.551115123125783e-17,156,0,0.4345262050628662,5,0
1.5999999999999994,162,0,0.4375014305114746,6,0
5.551115123125783e-17,169,0,0.4401993751525879,5,0
0.09999999999999998,151,0,0.4276139736175537,2,0
1.0000000000000002,170,0,0.4698615074157715,4,0
0.09999999999999992,162,0,0.4498577117919922,3,0
-0.8999999999999999,37,1,0.17546677589416504,0,0
0.7000000000000004,162,0,0.45818448066711426,3,0
1.1,148,0,0.3943979740142822,2,0
1.7999999999999996,167,0,0.43798160552978516,10,0
-0.9000000000000001,118,1,0.344088077545166,2,0
